co2,temperature,humidity,rainfall,pyrano,hour,date
519.0,24.45,100.0,0.0,0.0,0,2025-04-24
519.0,24.45,100.0,0.0,0.0,0,2025-04-24
519.0,24.45,100.0,0.0,0.0,0,2025-04-24
519.0,24.45,100.0,0.0,0.0,0,2025-04-24
519.0,24.469,100.0,0.0,0.0,0,2025-04-24
519.0,24.394,100.0,0.0,0.0,0,2025-04-24
519.0,24.437,100.0,0.0,0.0,0,2025-04-24
519.0,24.41,100.0,0.0,0.0,0,2025-04-24
519.0,24.394,100.0,0.0,0.0,0,2025-04-24
519.0,24.38,100.0,0.0,0.0,0,2025-04-24
519.0,24.423,100.0,0.0,0.0,0,2025-04-24
519.0,24.394,100.0,0.0,0.0,0,2025-04-24
519.0,24.394,100.0,0.0,0.0,0,2025-04-24
519.0,24.41,100.0,0.0,0.0,0,2025-04-24
573.0,24.394,100.0,0.0,0.0,0,2025-04-24
582.0,24.354,100.0,0.0,0.0,0,2025-04-24
581.0,24.45,100.0,0.0,0.0,0,2025-04-24
581.0,24.282,100.0,0.0,0.0,0,2025-04-24
589.0,24.423,100.0,0.0,0.0,0,2025-04-24
594.0,24.282,100.0,0.0,0.0,0,2025-04-24
586.0,24.298,100.0,0.0,0.0,0,2025-04-24
587.0,24.367,100.0,0.0,0.0,0,2025-04-24
599.0,24.367,100.0,0.0,0.0,0,2025-04-24
599.0,24.41,100.0,0.0,0.0,0,2025-04-24
575.0,24.298,100.0,0.0,0.0,0,2025-04-24
571.0,24.226,100.0,0.0,0.0,0,2025-04-24
570.0,24.255,100.0,0.0,0.0,0,2025-04-24
563.0,24.298,100.0,0.0,0.0,0,2025-04-24
569.0,24.324,100.0,0.0,0.0,0,2025-04-24
569.0,24.282,100.0,0.0,0.0,0,2025-04-24
569.0,24.298,100.0,0.0,0.0,0,2025-04-24
559.0,24.367,100.0,0.0,0.0,0,2025-04-24
546.0,24.298,100.0,0.0,0.0,0,2025-04-24
547.0,24.242,100.0,0.0,0.0,0,2025-04-24
548.0,24.324,100.0,0.0,0.0,0,2025-04-24
